arrest_id_x,person_id,age_at_arrest,sex,race,arrest_date_current,arrest_id_y,charge_class_history,offense_category,arrest_date_history,y,charge_class_current,current_charge_felony,num_fel_arrests_last_year
5998375,339988,56.57534246575342,M,,2017-03-17,9977487,misdemeanor,property,2013-11-22,0,misdemeanor,0,1
5170311,336042,55.30684931506849,M,White,2017-09-15,2171437,misdemeanor,property,2019-02-25,1,misdemeanor,0,0
2680535,84027,39.26849315068493,M,Black,2018-11-18,7637306,misdemeanor,property,2015-12-19,0,felony,1,0
7370720,26596,46.40547945205479,M,mixed,2016-03-09,8310347,misdemeanor,property,2015-05-27,0,misdemeanor,0,0
6995174,33633,18.2986301369863,M,mixed,2016-06-01,4374570,misdemeanor,property,2018-02-07,1,misdemeanor,0,0
7003161,3223578,41.298630136986304,F,Asian,2016-05-30,4461595,misdemeanor,property,2018-01-23,0,misdemeanor,0,0
5564259,847667,32.27945205479452,F,Black,2017-07-03,1805244,misdemeanor,other,2019-04-30,0,misdemeanor,0,0
7224958,57529,25.56438356164384,M,Black,2016-04-17,8055774,felony,other,2015-08-15,1,misdemeanor,0,3
3394043,961194,55.55068493150685,M,Black,2018-07-20,3673007,misdemeanor,property,2018-05-31,0,misdemeanor,0,0
4941565,1060589,28.134246575342463,M,Black,2017-10-27,8166911,misdemeanor,other,2015-07-13,0,misdemeanor,0,1
5155920,92636,56.05479452054794,M,Black,2017-09-19,7200723,misdemeanor,property,2016-04-23,0,misdemeanor,0,0
5828497,51883,25.980821917808218,M,mixed,2017-04-30,6320789,misdemeanor,violent,2016-12-19,0,misdemeanor,0,0
7027943,908756,35.915068493150685,M,Black,2016-05-21,6577615,misdemeanor,violent,2016-10-01,0,misdemeanor,0,0
12005344,14260,19.30958904109589,M,,2018-01-15,2565182,misdemeanor,other,2018-12-10,0,misdemeanor,0,0
3052452,1127005,52.342465753424655,M,White,2018-09-08,3086892,misdemeanor,other,2018-09-03,0,misdemeanor,0,0
5140950,56946,38.2027397260274,M,Black,2017-09-21,1531303,misdemeanor,property,2019-05-30,0,felony,1,1
6984750,1059734,27.78904109589041,F,Black,2016-06-04,6867143,misdemeanor,property,2016-07-08,1,misdemeanor,0,1
5913001,6614,25.3972602739726,M,White,2017-04-09,5647828,misdemeanor,property,2017-06-13,0,felony,1,0
2576292,82604,34.865753424657534,M,Black,2018-12-07,2463114,felony,drug,2018-12-31,1,felony,1,1
7021379,63935,29.64109589041096,F,White,2016-05-24,4490225,misdemeanor,property,2018-01-18,1,felony,1,4
6892253,206826,37.24109589041096,M,Black,2016-07-03,10194004,misdemeanor,other,2013-09-08,0,misdemeanor,0,0
5226476,85929,35.0,M,Black,2017-09-08,800846,misdemeanor,property,2019-10-18,0,misdemeanor,0,0
5155920,92636,56.05479452054794,M,Black,2017-09-19,1409478,misdemeanor,property,2019-06-24,0,misdemeanor,0,0
3396602,1352518,23.51232876712329,M,Other,2018-07-20,3396602,felony,property,2018-07-20,0,felony,1,0
4874761,172713,24.2054794520548,M,Black,2017-11-04,4874761,misdemeanor,drug,2017-11-04,0,misdemeanor,0,1
6237431,56452,56.37808219178082,M,Black,2017-01-13,6554654,felony,property,2016-10-09,0,misdemeanor,0,1
6792133,53858,29.10684931506849,M,mixed,2016-08-01,6792133,misdemeanor,drug,2016-08-01,0,misdemeanor,0,0
6496625,210420,21.895890410958906,F,Black,2016-10-26,6496625,misdemeanor,other,2016-10-26,0,misdemeanor,0,0
7023735,46047,31.136986301369863,M,White,2016-05-23,199031,felony,other,2020-02-21,1,misdemeanor,0,1
5675336,24916,18.75068493150685,M,Black,2017-06-06,5570754,felony,drug,2017-06-30,1,misdemeanor,0,0
6045036,28614,25.895890410958906,M,Black,2017-03-05,10558490,misdemeanor,property,2013-05-06,0,misdemeanor,0,0
6766557,27836,36.69041095890411,M,White,2016-08-09,8165582,misdemeanor,violent,2015-07-13,0,misdemeanor,0,0
4130120,44351,27.8054794520548,F,Black,2018-03-24,2560356,misdemeanor,drug,2018-12-11,0,misdemeanor,0,0
6147642,1675740,34.961643835616435,M,White,2017-02-07,6290136,misdemeanor,violent,2016-12-31,0,misdemeanor,0,0
5170311,336042,55.30684931506849,M,White,2017-09-15,9743628,misdemeanor,property,2014-02-04,1,misdemeanor,0,0
2922877,84823,24.0,M,Black,2018-10-02,10895655,felony,property,2013-01-06,1,felony,1,2
6037598,92826,40.84657534246576,M,Black,2017-03-07,6220497,misdemeanor,other,2017-01-19,0,misdemeanor,0,0
6163577,72764,22.72054794520548,F,Black,2017-02-03,5740015,misdemeanor,property,2017-05-23,1,misdemeanor,0,3
6623957,1075503,61.09041095890411,M,Black,2016-09-19,7165052,misdemeanor,property,2016-05-04,0,misdemeanor,0,1
6845142,1072559,55.02739726027397,M,White,2016-07-15,9036975,misdemeanor,other,2014-09-23,0,misdemeanor,0,0
2977729,19918,27.96712328767123,M,White,2018-09-22,8158294,misdemeanor,violent,2015-07-14,0,misdemeanor,0,0
5053285,442499,29.23835616438356,M,White,2017-10-06,8886548,misdemeanor,property,2014-11-15,0,felony,1,0
7023735,46047,31.136986301369863,M,White,2016-05-23,2640835,felony,other,2018-11-26,1,misdemeanor,0,1
7370720,26596,46.40547945205479,M,mixed,2016-03-09,7444714,misdemeanor,other,2016-02-20,0,misdemeanor,0,0
6028961,91718,29.572602739726022,M,Black,2017-03-09,6969000,misdemeanor,other,2016-06-09,0,misdemeanor,0,0
4251991,98350,53.772602739726025,M,Black,2018-03-02,6623309,misdemeanor,drug,2016-09-19,0,misdemeanor,0,0
4434854,94941,25.70958904109589,M,Black,2018-01-28,11071193,misdemeanor,property,2012-11-01,0,felony,1,0
6892870,909864,22.273972602739725,M,Black,2016-07-02,9438492,felony,drug,2014-05-21,0,misdemeanor,0,2
6641052,13178,20.01095890410959,M,Black,2016-09-13,8306853,felony,drug,2015-05-28,1,felony,1,0
5322293,249937,27.84931506849315,M,Black,2017-08-21,5322293,misdemeanor,violent,2017-08-21,0,misdemeanor,0,0
7563566,49472,32.298630136986304,M,Black,2016-01-14,8379807,felony,violent,2015-05-04,1,felony,1,4
7030740,1439871,30.698630136986303,M,White,2016-05-20,7280409,misdemeanor,other,2016-04-01,1,misdemeanor,0,2
3471309,16944,39.66849315068493,M,White,2018-07-09,9361077,misdemeanor,other,2014-06-09,0,misdemeanor,0,0
6234841,971359,30.63287671232877,M,White,2017-01-15,8497329,felony,violent,2015-03-27,0,felony,1,0
2576292,82604,34.865753424657534,M,Black,2018-12-07,9862061,misdemeanor,drug,2013-12-25,1,felony,1,1
4761709,51435,33.465753424657535,M,Black,2017-11-24,5473785,misdemeanor,other,2017-07-21,0,misdemeanor,0,0
4937826,56410,33.4027397260274,M,Black,2017-10-27,250262,misdemeanor,other,2020-02-12,0,misdemeanor,0,0
3046602,1244695,45.02739726027397,F,White,2018-09-10,792678,felony,other,2019-10-21,1,felony,1,2
7019251,253477,51.3013698630137,M,White,2016-05-24,7499022,misdemeanor,other,2016-02-05,0,misdemeanor,0,1
5396058,555286,25.87123287671233,F,Black,2017-08-07,11304287,misdemeanor,property,2012-08-12,0,felony,1,0
4973926,1123886,25.756164383561643,M,Black,2017-10-22,195265,misdemeanor,property,2020-02-22,0,misdemeanor,0,0
7255049,670782,25.084931506849315,M,Black,2016-04-10,4976249,misdemeanor,violent,2017-10-21,0,misdemeanor,0,1
4460552,1292211,21.145205479452056,M,Black,2018-01-23,4460552,misdemeanor,drug,2018-01-23,1,misdemeanor,0,0
6163577,72764,22.72054794520548,F,Black,2017-02-03,5779254,felony,violent,2017-05-12,1,misdemeanor,0,3
4367944,26258,22.02739726027397,M,Black,2018-02-08,6866127,felony,violent,2016-07-08,0,misdemeanor,0,0
6037598,92826,40.84657534246576,M,Black,2017-03-07,6723938,misdemeanor,property,2016-08-21,0,misdemeanor,0,0
2576292,82604,34.865753424657534,M,Black,2018-12-07,4871943,misdemeanor,drug,2017-11-05,1,felony,1,1
5083273,198393,27.68219178082192,M,Black,2017-10-02,9850524,misdemeanor,violent,2013-12-29,0,felony,1,0
3086994,1307719,22.10136986301369,M,Black,2018-09-03,2795810,felony,violent,2018-10-26,1,felony,1,0
5585793,239629,27.71780821917808,M,Black,2017-06-27,8203107,misdemeanor,drug,2015-07-02,1,felony,1,0
6015800,60742,28.254794520547943,M,Black,2017-03-13,4078069,misdemeanor,other,2018-04-02,0,misdemeanor,0,0
6982985,4981,37.38082191780822,M,White,2016-06-05,9369771,misdemeanor,other,2014-06-05,0,misdemeanor,0,1
6049457,32779,27.38082191780822,M,Black,2017-03-03,8982977,misdemeanor,violent,2014-10-10,0,felony,1,0
6042314,1411167,28.375342465753423,F,Black,2017-03-06,6042314,misdemeanor,property,2017-03-06,0,misdemeanor,0,0
7587118,997983,42.21917808219178,M,White,2016-01-07,2922893,misdemeanor,violent,2018-10-02,0,felony,1,1
6165914,570963,40.92328767123288,M,Black,2017-02-03,9858363,misdemeanor,drug,2020-07-21,0,misdemeanor,0,0
5666449,25523,29.742465753424657,M,Black,2017-06-08,1447489,misdemeanor,other,2019-06-15,0,misdemeanor,0,0
4251991,98350,53.772602739726025,M,Black,2018-03-02,10530684,misdemeanor,violent,2013-05-16,0,misdemeanor,0,0
5475688,67939,60.42191780821918,M,Black,2017-07-21,8243244,misdemeanor,property,2015-06-18,0,misdemeanor,0,1
5475688,67939,60.42191780821918,M,Black,2017-07-21,7367366,misdemeanor,property,2016-03-10,0,misdemeanor,0,1
6847236,1189790,40.16712328767123,M,mixed,2016-07-14,6847236,misdemeanor,violent,2016-07-14,0,misdemeanor,0,0
7200043,55112,46.46849315068493,M,White,2016-04-23,11271102,misdemeanor,property,2012-08-22,1,felony,1,0
4524599,81290,20.134246575342463,M,Black,2018-01-11,4438316,misdemeanor,other,2018-01-26,0,misdemeanor,0,2
6641052,13178,20.01095890410959,M,Black,2016-09-13,1275709,felony,property,2019-07-18,1,felony,1,0
